"tall","all_regi","all_enty","all_enty_1","all_te","Val"
"2005","LAM","peoil","seliqfos","refliq",0.361894045316308
"2005","LAM","peoil","seel","dot",0.0217711238979915
"2005","LAM","pegas","seliqfos","gasftrec",0
"2005","LAM","pegas","seliqfos","gasftcrec",0
"2005","LAM","pegas","seel","ngcc",0.0242771453876155
"2005","LAM","pegas","seel","ngccc",0
"2005","LAM","pegas","seel","ngt",0.00269746059862394
"2005","LAM","pegas","seel","gaschp",0
"2005","LAM","pegas","seh2","gash2",2.1831202727714E-5
"2005","LAM","pegas","seh2","gash2c",0
"2005","LAM","pegas","segafos","gastr",0.0977197115544987
"2005","LAM","pegas","sehe","gashp",0
"2005","LAM","pecoal","seliqfos","coalftrec",0
"2005","LAM","pecoal","seliqfos","coalftcrec",0
"2005","LAM","pecoal","sesofos","coaltr",0.027452247508723
"2005","LAM","pecoal","seel","igcc",0
"2005","LAM","pecoal","seel","igccc",0
"2005","LAM","pecoal","seel","pc",0.00683013897964245
"2005","LAM","pecoal","seel","pcc",0
"2005","LAM","pecoal","seel","pco",0
"2005","LAM","pecoal","seel","coalchp",0
"2005","LAM","pecoal","seh2","coalh2",9.35622974044886E-6
"2005","LAM","pecoal","seh2","coalh2c",0
"2005","LAM","pecoal","segafos","coalgas",0.00373129554664919
"2005","LAM","pecoal","sehe","coalhp",0
"2005","LAM","peur","seel","tnrs",0.00320971877150973
"2005","LAM","peur","seel","fnrs",0
"2005","LAM","pegeo","seel","geohdr",0.00115819404825775
"2005","LAM","pegeo","sehe","geohe",0
"2005","LAM","pehyd","seel","hydro",0.0757663673449985
"2005","LAM","pewin","seel","wind",8.36729535335868E-5
"2005","LAM","pewin","seel","windoff",0
"2005","LAM","pesol","seel","spv",6.98653569806429E-6
"2005","LAM","pesol","seel","csp",0
"2005","LAM","pesol","sehe","solhe",0
"2005","LAM","pebiolc","seliqbio","bioftrec",0
"2005","LAM","pebiolc","seliqbio","bioftcrec",0
"2005","LAM","pebiolc","seliqbio","bioethl",0
"2005","LAM","pebiolc","sesobio","biotr",0.0362291633436878
"2005","LAM","pebiolc","sesobio","biotrmod",0.0691991294708893
"2005","LAM","pebiolc","seel","biochp",0
"2005","LAM","pebiolc","seel","bioigcc",0.00265736244965696
"2005","LAM","pebiolc","seel","bioigccc",0
"2005","LAM","pebiolc","seh2","bioh2",0
"2005","LAM","pebiolc","seh2","bioh2c",0
"2005","LAM","pebiolc","segabio","biogas",0
"2005","LAM","pebiolc","segabio","biogasc",0
"2005","LAM","pebiolc","sehe","biohp",0
"2005","LAM","pebios","seliqbio","bioeths",0.0104040145521529
"2005","LAM","pebioil","seliqbio","biodiesel",3.86832672650422E-5
"2005","LAM","seel","seh2","elh2",0
"2005","LAM","seel","seh2","elh2VRE",0
"2005","LAM","seh2","seliqbio","MeOH",0
"2005","LAM","seh2","seliqsyn","MeOH",0
"2005","LAM","seh2","seel","h2turb",0
"2005","LAM","seh2","seel","h2turbVRE",0
"2005","LAM","seh2","segabio","h22ch4",0
"2005","LAM","seh2","segasyn","h22ch4",0
