"","model","scenario","region","period","variable","value"
"1","REMIND","SSP2-INDC","AFR",2020,"Air Pollution",0
"2","REMIND","SSP2-INDC","AFR",2030,"Air Pollution",-66680.1951387461
"3","REMIND","SSP2-INDC","AFR",2040,"Air Pollution",-104587.521925764
"4","REMIND","SSP2-INDC","AFR",2050,"Air Pollution",-162186.511993374
"5","REMIND","SSP2-INDC","CHN",2020,"Air Pollution",0
"6","REMIND","SSP2-INDC","CHN",2030,"Air Pollution",-29960.4688697999
"7","REMIND","SSP2-INDC","CHN",2040,"Air Pollution",-428918.68538309
"8","REMIND","SSP2-INDC","CHN",2050,"Air Pollution",-813955.984748105
"9","REMIND","SSP2-INDC","EUR",2020,"Air Pollution",0
"10","REMIND","SSP2-INDC","EUR",2030,"Air Pollution",-46162.2983309284
"11","REMIND","SSP2-INDC","EUR",2040,"Air Pollution",-4645.5279897513
"12","REMIND","SSP2-INDC","EUR",2050,"Air Pollution",-18743.7460757667
"13","REMIND","SSP2-INDC","IND",2020,"Air Pollution",0
"14","REMIND","SSP2-INDC","IND",2030,"Air Pollution",-397574.899822
"15","REMIND","SSP2-INDC","IND",2040,"Air Pollution",-2071232.53869402
"16","REMIND","SSP2-INDC","IND",2050,"Air Pollution",-1625201.09483701
"17","REMIND","SSP2-INDC","JPN",2020,"Air Pollution",0
"18","REMIND","SSP2-INDC","JPN",2030,"Air Pollution",-6248.89874329119
"19","REMIND","SSP2-INDC","JPN",2040,"Air Pollution",-12006.2854130698
"20","REMIND","SSP2-INDC","JPN",2050,"Air Pollution",-16985.8533073131
"21","REMIND","SSP2-INDC","LAM",2020,"Air Pollution",0
"22","REMIND","SSP2-INDC","LAM",2030,"Air Pollution",72322.4830688412
"23","REMIND","SSP2-INDC","LAM",2040,"Air Pollution",-155927.82217946
"24","REMIND","SSP2-INDC","LAM",2050,"Air Pollution",-91791.3532982153
"25","REMIND","SSP2-INDC","MEA",2020,"Air Pollution",0
"26","REMIND","SSP2-INDC","MEA",2030,"Air Pollution",-46962.3990733189
"27","REMIND","SSP2-INDC","MEA",2040,"Air Pollution",-79175.3215193697
"28","REMIND","SSP2-INDC","MEA",2050,"Air Pollution",-125456.016918877
"29","REMIND","SSP2-INDC","OAS",2020,"Air Pollution",0
"30","REMIND","SSP2-INDC","OAS",2030,"Air Pollution",129989.999942988
"31","REMIND","SSP2-INDC","OAS",2040,"Air Pollution",-1012661.73942932
"32","REMIND","SSP2-INDC","OAS",2050,"Air Pollution",-834120.514241058
"33","REMIND","SSP2-INDC","ROW",2020,"Air Pollution",0
"34","REMIND","SSP2-INDC","ROW",2030,"Air Pollution",-59397.9812830852
"35","REMIND","SSP2-INDC","ROW",2040,"Air Pollution",-33143.9559711182
"36","REMIND","SSP2-INDC","ROW",2050,"Air Pollution",-40032.275839723
"37","REMIND","SSP2-INDC","USA",2020,"Air Pollution",0
"38","REMIND","SSP2-INDC","USA",2030,"Air Pollution",-12621.1512695403
"39","REMIND","SSP2-INDC","USA",2040,"Air Pollution",-451.852224249477
"40","REMIND","SSP2-INDC","USA",2050,"Air Pollution",-10955.8096186521
"41","REMIND","SSP2-26","AFR",2020,"Air Pollution",0
"42","REMIND","SSP2-26","AFR",2030,"Air Pollution",-797893.185987375
"43","REMIND","SSP2-26","AFR",2040,"Air Pollution",-793156.964038744
"44","REMIND","SSP2-26","AFR",2050,"Air Pollution",-1273254.42352742
"45","REMIND","SSP2-26","CHN",2020,"Air Pollution",0
"46","REMIND","SSP2-26","CHN",2030,"Air Pollution",-3601671.77834289
"47","REMIND","SSP2-26","CHN",2040,"Air Pollution",-3402024.38211429
"48","REMIND","SSP2-26","CHN",2050,"Air Pollution",-7903558.9431427
"49","REMIND","SSP2-26","EUR",2020,"Air Pollution",0
"50","REMIND","SSP2-26","EUR",2030,"Air Pollution",-88227.0307921712
"51","REMIND","SSP2-26","EUR",2040,"Air Pollution",-8720.68059940787
"52","REMIND","SSP2-26","EUR",2050,"Air Pollution",-35456.3742098677
"53","REMIND","SSP2-26","IND",2020,"Air Pollution",0
"54","REMIND","SSP2-26","IND",2030,"Air Pollution",-10374473.128156
"55","REMIND","SSP2-26","IND",2040,"Air Pollution",-15389001.825593
"56","REMIND","SSP2-26","IND",2050,"Air Pollution",-22089173.883453
"57","REMIND","SSP2-26","JPN",2020,"Air Pollution",0
"58","REMIND","SSP2-26","JPN",2030,"Air Pollution",-55483.3414650412
"59","REMIND","SSP2-26","JPN",2040,"Air Pollution",-42866.8560935989
"60","REMIND","SSP2-26","JPN",2050,"Air Pollution",-74260.9586979151
